Order,Family,Species,Mainly distributed in,% Distribution in MTZ
Apodiformes,Apodidae,Aeronautes saxatalis,Nearctic region,12%
Apodiformes,Apodidae,Chaetura cinereiventris,South Brazilian dominion,1%
Apodiformes,Apodidae,Chaetura pelagica,Nearctic region,0%
Apodiformes,Apodidae,Chaetura vauxi,Nearctic region,0%
Apodiformes,Apodidae,Cypseloides cryptus,Boreal Brazilian dominion,45%
Apodiformes,Apodidae,Cypseloides niger,Nearctic region,47%
Apodiformes,Apodidae,Cypseloides storeri,Mexican Transition Zone,100%
Apodiformes,Apodidae,Panyptila cayennensis,Boreal Brazilian dominion,3%
Apodiformes,Apodidae,Panyptila sanctihieronymi,Mexican Transition Zone,100%
Apodiformes,Apodidae,Streptoprocne rutila,Mexican Transition Zone,44%
Apodiformes,Apodidae,Streptoprocne semicollaris,Mexican Transition Zone,100%
Apodiformes,Apodidae,Streptoprocne zonaris,South Brazilian dominion,7%
Apodiformes,Trochilidae,Abeillia abeillei,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Amazilia amabilis,Pacific dominion,14%
Apodiformes,Trochilidae,Amazilia beryllina,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Amazilia candida,Mesoamerican dominion,100%
Apodiformes,Trochilidae,Amazilia cyanocephala,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Amazilia cyanura,Mexican Transition Zone,82%
Apodiformes,Trochilidae,Amazilia luciae,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Amazilia rutila,Mesoamerican dominion,97%
Apodiformes,Trochilidae,Amazilia saucerrottei,Pacific dominion,10%
Apodiformes,Trochilidae,Amazilia violiceps,Mexican Transition Zone,91%
Apodiformes,Trochilidae,Amazilia viridifrons,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Amazilia yucatanensis,Mesoamerican dominion,87%
Apodiformes,Trochilidae,Anthracothorax prevostii,Mesoamerican dominion,85%
Apodiformes,Trochilidae,Anthracothorax veraguensis,Pacific dominion,0%
Apodiformes,Trochilidae,Archilochus alexandri,Nearctic region,13%
Apodiformes,Trochilidae,Archilochus colubris,Nearctic region,0%
Apodiformes,Trochilidae,Atthis ellioti,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Atthis heloisa,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Calothorax lucifer,Mexican Transition Zone,87%
Apodiformes,Trochilidae,Calothorax pulcher,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Calypte anna,Nearctic region,13%
Apodiformes,Trochilidae,Calypte costae,Nearctic region,30%
Apodiformes,Trochilidae,Campylopterus curvipennis,Mesoamerican dominion,100%
Apodiformes,Trochilidae,Campylopterus hemileucurus,Mexican Transition Zone,86%
Apodiformes,Trochilidae,Campylopterus rufus,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Chalybura buffonii,Pacific dominion,0%
Apodiformes,Trochilidae,Chalybura urochrysia,Pacific dominion,24%
Apodiformes,Trochilidae,Chlorostilbon auriceps,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Chlorostilbon canivetii,Mesoamerican dominion,97%
Apodiformes,Trochilidae,Chlorostilbon russatus,Pacific dominion,0%
Apodiformes,Trochilidae,Chlorostilbon swainsonii,Antillean subregion,0%
Apodiformes,Trochilidae,Colibri delphinae,Boreal Brazilian dominion,8%
Apodiformes,Trochilidae,Colibri thalassinus,Mexican Transition Zone,40%
Apodiformes,Trochilidae,Cynanthus latirostris,Mexican Transition Zone,96%
Apodiformes,Trochilidae,Cynanthus sordidus,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Doricha eliza,Mesoamerican dominion,100%
Apodiformes,Trochilidae,Doricha enicura,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Elvira chionura,Pacific dominion,0%
Apodiformes,Trochilidae,Elvira cupreiceps,Pacific dominion,0%
Apodiformes,Trochilidae,Eugenes fulgens,Mexican Transition Zone,81%
Apodiformes,Trochilidae,Eupherusa cyanophrys,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Eupherusa eximia,Mexican Transition Zone,89%
Apodiformes,Trochilidae,Eupherusa poliocerca,Mesoamerican dominion,100%
Apodiformes,Trochilidae,Florisuga fusca,Parana dominion,0%
Apodiformes,Trochilidae,Florisuga mellivora,Boreal Brazilian dominion,3%
Apodiformes,Trochilidae,Glaucis aeneus,Pacific dominion,46%
Apodiformes,Trochilidae,Heliomaster constantii,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Heliomaster furcifer,Chacoan dominion,0%
Apodiformes,Trochilidae,Heliomaster longirostris,Boreal Brazilian dominion,4%
Apodiformes,Trochilidae,Heliomaster squamosus,Chacoan dominion,0%
Apodiformes,Trochilidae,Heliothryx auritus,Boreal Brazilian dominion,0%
Apodiformes,Trochilidae,Heliothryx barroti,Pacific dominion,37%
Apodiformes,Trochilidae,Hylocharis eliciae,Mesoamerican dominion,73%
Apodiformes,Trochilidae,Hylocharis leucotis,Mexican Transition Zone,99%
Apodiformes,Trochilidae,Klais guimeti,South Brazilian dominion,15%
Apodiformes,Trochilidae,Lampornis amethystinus,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Lampornis clemenciae,Mexican Transition Zone,77%
Apodiformes,Trochilidae,Lampornis hemileucus,Pacific dominion,0%
Apodiformes,Trochilidae,Lampornis sybillae,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Lampornis viridipallens,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Lamprolaima rhami,Mexican Transition Zone,100%
Apodiformes,Trochilidae,Leucippus taczanowskii,South American Transition Zone,0%
Apodiformes,Trochilidae,Lophornis brachylophus,Mesoamerican dominion,100%
Apodiformes,Trochilidae,Lophornis helenae,Mesoamerican dominion,93%
Apodiformes,Trochilidae,Microchera albocoronata,Mesoamerican dominion,64%
Apodiformes,Trochilidae,Panterpe insignis,Pacific dominion,0%
Apodiformes,Trochilidae,Phaeochroa cuvierii,Mesoamerican dominion,61%
Apodiformes,Trochilidae,Phaethornis longirostris,Pacific dominion,44%
Apodiformes,Trochilidae,Phaethornis striigularis,Pacific dominion,42%
Apodiformes,Trochilidae,Selasphorus platycercus,Nearctic region,32%
Apodiformes,Trochilidae,Selasphorus rufus,Nearctic region,0%
Apodiformes,Trochilidae,Selasphorus sasin,Nearctic region,0%
Apodiformes,Trochilidae,Thalurania colombica,Pacific dominion,17%
Apodiformes,Trochilidae,Thalurania ridgwayi,Mesoamerican dominion,100%
Apodiformes,Trochilidae,Threnetes ruckeri,Pacific dominion,21%
Apodiformes,Trochilidae,Tilmatura dupontii,Mexican Transition Zone,100%
Caprimulgiformes,Caprimulgidae,Caprimulgus carolinensis,Nearctic region,0%
Caprimulgiformes,Caprimulgidae,Caprimulgus maculicaudus,Mesoamerican dominion,100%
Caprimulgiformes,Caprimulgidae,Caprimulgus ridgwayi,Mexican Transition Zone,95%
Caprimulgiformes,Caprimulgidae,Caprimulgus salvini,Mexican Transition Zone,69%
Caprimulgiformes,Caprimulgidae,Caprimulgus vociferus,Nearctic region,0%
Caprimulgiformes,Caprimulgidae,Chordeiles acutipennis,Nearctic region,23%
Caprimulgiformes,Caprimulgidae,Chordeiles minor,Nearctic region,5%
Caprimulgiformes,Caprimulgidae,Chordeiles rupestris,Boreal Brazilian dominion,0%
Caprimulgiformes,Caprimulgidae,Lurocalis rufiventris,South Brazilian dominion,0%
Caprimulgiformes,Caprimulgidae,Lurocalis semitorquatus,Boreal Brazilian dominion,2%
Caprimulgiformes,Caprimulgidae,Nyctidromus albicollis,Boreal Brazilian dominion,7%
Caprimulgiformes,Caprimulgidae,Nyctiphrynus mcleodii,Mexican Transition Zone,100%
Caprimulgiformes,Caprimulgidae,Nyctiphrynus yucatanicus,Mesoamerican dominion,100%
Caprimulgiformes,Caprimulgidae,Phalaenoptilus nuttallii,Nearctic region,6%
Caprimulgiformes,Nyctibiidae,Nyctibius grandis,Boreal Brazilian dominion,2%
Caprimulgiformes,Nyctibiidae,Nyctibius griseus,Chacoan dominion,0%
Caprimulgiformes,Nyctibiidae,Nyctibius jamaicensis,Mesoamerican dominion,87%
Coraciiformes,Alcedinidae,Chloroceryle aenea,Boreal Brazilian dominion,6%
Coraciiformes,Alcedinidae,Chloroceryle amazona,Chacoan dominion,5%
Coraciiformes,Alcedinidae,Chloroceryle americana,Chacoan dominion,10%
Coraciiformes,Alcedinidae,Chloroceryle inda,Boreal Brazilian dominion,0%
Coraciiformes,Alcedinidae,Megaceryle alcyon,Northern Nearctic,0%
Coraciiformes,Alcedinidae,Megaceryle torquata,Andean region,0%
Coraciiformes,Momotidae,Aspatha gularis,Mexican Transition Zone,100%
Coraciiformes,Momotidae,Baryphthengus martii,South Brazilian dominion,2%
Coraciiformes,Momotidae,Electron carinatum,Mexican Transition Zone,85%
Coraciiformes,Momotidae,Electron platyrhynchum,South Brazilian dominion,3%
Coraciiformes,Momotidae,Eumomota superciliosa,Mesoamerican dominion,95%
Coraciiformes,Momotidae,Hylomanes momotula,Mesoamerican dominion,83%
Coraciiformes,Momotidae,Momotus mexicanus,Mexican Transition Zone,100%
Coraciiformes,Momotidae,Momotus momota,Boreal Brazilian dominion,0%
Cuculiformes,Cuculidae,Coccyzus americanus,Nearctic region,7%
Cuculiformes,Cuculidae,Coccyzus erythropthalmus,Nearctic region,0%
Cuculiformes,Cuculidae,Coccyzus euleri,Chacoan dominion,0%
Cuculiformes,Cuculidae,Coccyzus minor,Mesoamerican dominion,43%
Cuculiformes,Cuculidae,Crotophaga sulcirostris,Nearctic region,0%
Cuculiformes,Cuculidae,Dromococcyx pavoninus,South Brazilian dominion,0%
Cuculiformes,Cuculidae,Dromococcyx phasianellus,Chacoan dominion,4%
Cuculiformes,Cuculidae,Geococcyx californianus,Nearctic region,25%
Cuculiformes,Cuculidae,Geococcyx velox,Mexican Transition Zone,100%
Cuculiformes,Cuculidae,Morococcyx erythropygus,Mexican Transition Zone,96%
Cuculiformes,Cuculidae,Neomorphus geoffroyi,South Brazilian dominion,1%
Cuculiformes,Cuculidae,Neomorphus pucheranii,South Brazilian dominion,0%
Cuculiformes,Cuculidae,Neomorphus radiolosus,Pacific dominion,0%
Cuculiformes,Cuculidae,Neomorphus rufipennis,Boreal Brazilian dominion,0%
Cuculiformes,Cuculidae,Piaya cayana,Chacoan dominion,2%
Cuculiformes,Cuculidae,Tapera naevia,Chacoan dominion,4%
Galliformes,Cracidae,Crax rubra,Mesoamerican dominion,71%
Galliformes,Cracidae,Oreophasis derbianus,Mexican Transition Zone,100%
Galliformes,Cracidae,Ortalis cinereiceps,Pacific dominion,40%
Galliformes,Cracidae,Ortalis leucogastra,Mesoamerican dominion,100%
Galliformes,Cracidae,Ortalis poliocephala,Mexican Transition Zone,100%
Galliformes,Cracidae,Ortalis vetula,Mesoamerican dominion,88%
Galliformes,Cracidae,Ortalis wagleri,Mexican Transition Zone,100%
Galliformes,Cracidae,Penelope purpurascens,Pacific dominion,59%
Galliformes,Cracidae,Penelopina nigra,Mexican Transition Zone,100%
Galliformes,Odontophoridae,Callipepla californica,Nearctic region,0%
Galliformes,Odontophoridae,Callipepla douglasii,Mexican Transition Zone,100%
Galliformes,Odontophoridae,Callipepla gambelii,Nearctic region,30%
Galliformes,Odontophoridae,Callipepla squamata,Nearctic region,34%
Galliformes,Odontophoridae,Colinus cristatus,Pacific dominion,0%
Galliformes,Odontophoridae,Colinus leucopogon,Mexican Transition Zone,88%
Galliformes,Odontophoridae,Colinus nigrogularis,Mesoamerican dominion,100%
Galliformes,Odontophoridae,Colinus virginianus,Nearctic region,8%
Galliformes,Odontophoridae,Cyrtonyx montezumae,Mexican Transition Zone,87%
Galliformes,Odontophoridae,Cyrtonyx ocellatus,Mexican Transition Zone,100%
Galliformes,Odontophoridae,Dactylortyx thoracicus,Mexican Transition Zone,98%
Galliformes,Odontophoridae,Dendrortyx barbatus,Mexican Transition Zone,100%
Galliformes,Odontophoridae,Dendrortyx leucophrys,Mexican Transition Zone,97%
Galliformes,Odontophoridae,Dendrortyx macroura,Mexican Transition Zone,100%
Galliformes,Odontophoridae,Odontophorus guttatus,Mesoamerican dominion,97%
Galliformes,Odontophoridae,Odontophorus melanotis,Mesoamerican dominion,65%
Galliformes,Odontophoridae,Philortyx fasciatus,Mexican Transition Zone,100%
Galliformes,Odontophoridae,Rhynchortyx cinctus,Pacific dominion,38%
Galliformes,Phasianidae,Lagopus lagopus,Palearctic,0%
Galliformes,Phasianidae,Lagopus leucura,Northern Nearctic,0%
Galliformes,Phasianidae,Lagopus muta,Palearctic,0%
Galliformes,Phasianidae,Meleagris gallopavo,Nearctic region,11%
Galliformes,Phasianidae,Meleagris ocellata,Mesoamerican dominion,100%
Galliformes,Phasianidae,Phasianus colchicus,Palearctic,0%
Galliformes,Phasianidae,Tympanuchus cupido,Nearctic region,0%
Galliformes,Phasianidae,Tympanuchus pallidicinctus,Nearctic region,0%
Passeriformes,Aegithalidae,Psaltriparus minimus,Nearctic region,34%
Passeriformes,Bombycillidae,Phainopepla nitens,Nearctic region,33%
Passeriformes,Bombycillidae,Ptilogonys caudatus,Pacific dominion,0%
Passeriformes,Bombycillidae,Ptilogonys cinereus,Mexican Transition Zone,98%
Passeriformes,Cardinalidae,Amaurospiza concolor,Mexican Transition Zone,100%
Passeriformes,Cardinalidae,Amaurospiza moesta,Parana dominion,18%
Passeriformes,Cardinalidae,Cardinalis cardinalis,Nearctic region,14%
Passeriformes,Cardinalidae,Cardinalis phoeniceus,Pacific dominion,0%
Passeriformes,Cardinalidae,Cardinalis sinuatus,Nearctic region,37%
Passeriformes,Cardinalidae,Caryothraustes canadensis,Boreal Brazilian dominion,0%
Passeriformes,Cardinalidae,Caryothraustes poliogaster,Mesoamerican dominion,91%
Passeriformes,Cardinalidae,Chlorothraupis carmioli,Pacific dominion,48%
Passeriformes,Pipridae,Corapipo altera,Mesoamerican dominion,NA
Passeriformes,Cardinalidae,Cyanocompsa cyanoides,Pacific dominion,40%
Passeriformes,Cardinalidae,Cyanocompsa parellina,Mesoamerican dominion,100%
Passeriformes,Cardinalidae,Cyanoloxia glaucocaerulea,Chacoan dominion,0%
Passeriformes,Cardinalidae,Granatellus sallaei,Mesoamerican dominion,100%
Passeriformes,Cardinalidae,Granatellus venustus,Mesoamerican dominion,100%
Passeriformes,Cardinalidae,Habia fuscicauda,Mesoamerican dominion,89%
Passeriformes,Cardinalidae,Habia rubica,South Brazilian dominion,9%
Passeriformes,Cardinalidae,Periporphyrus erythromelas,Boreal Brazilian dominion,0%
Passeriformes,Cardinalidae,Pheucticus chrysopeplus,Mexican Transition Zone,100%
Passeriformes,Cardinalidae,Pheucticus melanocephalus,Nearctic region,9%
Passeriformes,Cardinalidae,Piranga bidentata,Mexican Transition Zone,95%
Passeriformes,Cardinalidae,Piranga erythrocephala,Mexican Transition Zone,100%
Passeriformes,Cardinalidae,Piranga leucoptera,South Brazilian dominion,37%
Passeriformes,Cardinalidae,Piranga ludoviciana,Nearctic region,6%
Passeriformes,Cardinalidae,Piranga rubra,Nearctic region,11%
Passeriformes,Cardinalidae,Rhodothraupis celaeno,Mexican Transition Zone,91%
Passeriformes,Cardinalidae,Saltator atriceps,Mesoamerican dominion,94%
Passeriformes,Cardinalidae,Saltator coerulescens,Chacoan dominion,8%
Passeriformes,Cardinalidae,Saltator grossus,Boreal Brazilian dominion,1%
Passeriformes,Cardinalidae,Saltator maximus,Boreal Brazilian dominion,3%
Passeriformes,Cardinalidae,Spiza americana,Nearctic region,0%
Passeriformes,Cinclidae,Cinclus mexicanus,Northern Nearctic,7%
Passeriformes,Coerebidae,Coereba flaveola,Boreal Brazilian dominion,2%
Passeriformes,Corvidae,Aphelocoma californica,Nearctic region,25%
Passeriformes,Corvidae,Aphelocoma ultramarina,Mexican Transition Zone,100%
Passeriformes,Corvidae,Aphelocoma unicolor,Mexican Transition Zone,100%
Passeriformes,Corvidae,Calocitta colliei,Mexican Transition Zone,98%
Passeriformes,Corvidae,Calocitta formosa,Mexican Transition Zone,96%
Passeriformes,Corvidae,Corvus brachyrhynchos,Northern Nearctic,0%
Passeriformes,Corvidae,Corvus corax,Northern Nearctic,0%
Passeriformes,Corvidae,Corvus cryptoleucus,Nearctic region,23%
Passeriformes,Corvidae,Corvus imparatus,Mexican Transition Zone,70%
Passeriformes,Corvidae,Corvus sinaloae,Mexican Transition Zone,97%
Passeriformes,Corvidae,Cyanocitta cristata,Northern Nearctic,0%
Passeriformes,Corvidae,Cyanocitta stelleri,Nearctic region,23%
Passeriformes,Corvidae,Cyanocorax affinis,Pacific dominion,0%
Passeriformes,Corvidae,Cyanocorax beecheii,Mexican Transition Zone,100%
Passeriformes,Corvidae,Cyanocorax cayanus,Boreal Brazilian dominion,0%
Passeriformes,Corvidae,Cyanocorax chrysops,Chacoan dominion,0%
Passeriformes,Corvidae,Cyanocorax cyanopogon,Chacoan dominion,0%
Passeriformes,Corvidae,Cyanocorax dickeyi,Mexican Transition Zone,100%
Passeriformes,Corvidae,Cyanocorax heilprini,Boreal Brazilian dominion,0%
Passeriformes,Corvidae,Cyanocorax luxuosus,Mesoamerican dominion,NA
Passeriformes,Corvidae,Cyanocorax melanocyaneus,Mexican Transition Zone,100%
Passeriformes,Corvidae,Cyanocorax morio,Mesoamerican dominion,85%
Passeriformes,Corvidae,Cyanocorax sanblasianus,Mesoamerican dominion,100%
Passeriformes,Corvidae,Cyanocorax yucatanicus,Mesoamerican dominion,100%
Passeriformes,Corvidae,Cyanolyca argentigula,Pacific dominion,0%
Passeriformes,Corvidae,Cyanolyca cucullata,Mexican Transition Zone,89%
Passeriformes,Corvidae,Cyanolyca mirabilis,Mexican Transition Zone,100%
Passeriformes,Corvidae,Cyanolyca nana,Mexican Transition Zone,100%
Passeriformes,Corvidae,Cyanolyca pulchra,Pacific dominion,0%
Passeriformes,Corvidae,Cyanolyca pumilo,Mexican Transition Zone,100%
Passeriformes,Corvidae,Gymnorhinus cyanocephalus,Nearctic region,15%
Passeriformes,Corvidae,Nucifraga caryocatactes,Palearctic,0%
Passeriformes,Corvidae,Nucifraga columbiana,Nearctic region,8%
Passeriformes,Corvidae,Pica hudsonia,Nearctic region,1%
Passeriformes,Corvidae,Pica nuttalli,Nearctic region,0%
Passeriformes,Cotingidae,Carpodectes nitidus,Mesoamerican dominion,81%
Passeriformes,Cotingidae,Cotinga amabilis,Mesoamerican dominion,93%
Passeriformes,Cotingidae,Laniocera hypopyrra,Boreal Brazilian dominion,0%
Passeriformes,Cotingidae,Laniocera rufescens,Pacific dominion,45%
Passeriformes,Cotingidae,Lipaugus unirufus,Pacific dominion,53%
Passeriformes,Cotingidae,Pachyramphus aglaiae,Mexican Transition Zone,61%
Passeriformes,Cotingidae,Pachyramphus albogriseus,Pacific dominion,0%
Passeriformes,Cotingidae,Pachyramphus cinnamomeus,Pacific dominion,31%
Passeriformes,Cotingidae,Pachyramphus homochrous,Pacific dominion,0%
Passeriformes,Cotingidae,Pachyramphus major,Mesoamerican dominion,100%
Passeriformes,Cotingidae,Pachyramphus polychopterus,Chacoan dominion,1%
Passeriformes,Cotingidae,Procnias tricarunculatus,Pacific dominion,17%
Passeriformes,Cotingidae,Schiffornis turdina,Boreal Brazilian dominion,5%
Passeriformes,Cotingidae,Schiffornis virescens,Parana dominion,0%
Passeriformes,Cotingidae,Tityra cayana,Boreal Brazilian dominion,0%
Passeriformes,Cotingidae,Tityra inquisitor,Chacoan dominion,4%
Passeriformes,Cotingidae,Tityra semifasciata,South Brazilian dominion,11%
Passeriformes,Dendrocolaptidae,Deconychura longicauda,Boreal Brazilian dominion,0%
Passeriformes,Dendrocolaptidae,Deconychura stictolaema,Boreal Brazilian dominion,0%
Passeriformes,Dendrocolaptidae,Dendrocincla anabatina,Mesoamerican dominion,96%
Passeriformes,Dendrocolaptidae,Dendrocincla fuliginosa,Boreal Brazilian dominion,1%
Passeriformes,Dendrocolaptidae,Dendrocincla homochroa,Mesoamerican dominion,78%
Passeriformes,Dendrocolaptidae,Dendrocolaptes certhia,Boreal Brazilian dominion,0%
Passeriformes,Dendrocolaptidae,Dendrocolaptes picumnus,Boreal Brazilian dominion,2%
Passeriformes,Dendrocolaptidae,Dendrocolaptes platyrostris,Chacoan dominion,0%
Passeriformes,Dendrocolaptidae,Dendrocolaptes sanctithomae,Mesoamerican dominion,69%
Passeriformes,Dendrocolaptidae,Glyphorynchus spirurus,Boreal Brazilian dominion,3%
Passeriformes,Dendrocolaptidae,Lepidocolaptes affinis,Mexican Transition Zone,95%
Passeriformes,Dendrocolaptidae,Lepidocolaptes lacrymiger,Pacific dominion,0%
Passeriformes,Dendrocolaptidae,Lepidocolaptes leucogaster,Mexican Transition Zone,100%
Passeriformes,Dendrocolaptidae,Lepidocolaptes souleyetii,Pacific dominion,24%
Passeriformes,Dendrocolaptidae,Sittasomus griseicapillus,Chacoan dominion,0%
Passeriformes,Dendrocolaptidae,Xiphocolaptes promeropirhynchus,South Brazilian dominion,4%
Passeriformes,Dendrocolaptidae,Xiphorhynchus erythropygius,Pacific dominion,47%
Passeriformes,Dendrocolaptidae,Xiphorhynchus flavigaster,Mesoamerican dominion,99%
Passeriformes,Dendrocolaptidae,Xiphorhynchus guttatus,Boreal Brazilian dominion,0%
Passeriformes,Dendrocolaptidae,Xiphorhynchus lachrymosus,Pacific dominion,10%
Passeriformes,Dendrocolaptidae,Xiphorhynchus susurrans,Pacific dominion,14%
Passeriformes,Dendrocolaptidae,Xiphorhynchus triangularis,South Brazilian dominion,0%
Passeriformes,Emberizidae,Aimophila aestivalis,Nearctic region,0%
Passeriformes,Emberizidae,Aimophila botterii,Mexican Transition Zone,84%
Passeriformes,Emberizidae,Aimophila carpalis,Nearctic region,42%
Passeriformes,Emberizidae,Aimophila cassinii,Nearctic region,16%
Passeriformes,Emberizidae,Aimophila humeralis,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Aimophila mystacalis,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Aimophila notosticta,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Aimophila quinquestriata,Mexican Transition Zone,91%
Passeriformes,Emberizidae,Aimophila rufescens,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Aimophila ruficauda,Mexican Transition Zone,95%
Passeriformes,Emberizidae,Aimophila ruficeps,Mexican Transition Zone,51%
Passeriformes,Emberizidae,Aimophila sumichrasti,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Ammodramus bairdii,Nearctic region,0%
Passeriformes,Emberizidae,Ammodramus savannarum,Nearctic region,0%
Passeriformes,Emberizidae,Amphispiza bilineata,Nearctic region,8%
Passeriformes,Emberizidae,Arremon aurantiirostris,Pacific dominion,31%
Passeriformes,Emberizidae,Arremon brunneinucha,Pacific dominion,31%
Passeriformes,Emberizidae,Arremon virenticeps,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Arremonops chloronotus,Mesoamerican dominion,100%
Passeriformes,Emberizidae,Arremonops conirostris,Pacific dominion,6%
Passeriformes,Emberizidae,Arremonops rufivirgatus,Mesoamerican dominion,71%
Passeriformes,Emberizidae,Atlapetes albinucha,Mexican Transition Zone,57%
Passeriformes,Emberizidae,Atlapetes pileatus,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Calamospiza melanocorys,Nearctic region,0%
Passeriformes,Emberizidae,Calcarius mccownii,Nearctic region,0%
Passeriformes,Emberizidae,Chondestes grammacus,Nearctic region,5%
Passeriformes,Emberizidae,Haplospiza rustica,Mexican Transition Zone,30%
Passeriformes,Emberizidae,Haplospiza unicolor,Parana dominion,0%
Passeriformes,Emberizidae,Junco hyemalis,Northern Nearctic,0%
Passeriformes,Emberizidae,Junco phaeonotus,Mexican Transition Zone,93%
Passeriformes,Emberizidae,Melospiza georgiana,Northern Nearctic,0%
Passeriformes,Emberizidae,Melospiza lincolnii,Northern Nearctic,1%
Passeriformes,Emberizidae,Melospiza melodia,Northern Nearctic,0%
Passeriformes,Emberizidae,Melozone biarcuata,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Melozone kieneri,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Melozone leucotis,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Oriturus superciliosus,Mexican Transition Zone,99%
Passeriformes,Emberizidae,Passerculus sandwichensis,Northern Nearctic,0%
Passeriformes,Emberizidae,Passerina amoena,Nearctic region,2%
Passeriformes,Emberizidae,Passerina caerulea,Nearctic region,14%
Passeriformes,Emberizidae,Passerina ciris,Nearctic region,2%
Passeriformes,Emberizidae,Passerina cyanea,Nearctic region,4%
Passeriformes,Emberizidae,Passerina leclancherii,Mesoamerican dominion,100%
Passeriformes,Emberizidae,Passerina rositae,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Passerina versicolor,Nearctic region,45%
Passeriformes,Emberizidae,Pipilo aberti,Nearctic region,43%
Passeriformes,Emberizidae,Pipilo albicollis,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Pipilo chlorurus,Nearctic region,7%
Passeriformes,Emberizidae,Pipilo fuscus,Mexican Transition Zone,51%
Passeriformes,Emberizidae,Pipilo maculatus,Nearctic region,0%
Passeriformes,Emberizidae,Pipilo ocai,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Pooecetes gramineus,Nearctic region,2%
Passeriformes,Emberizidae,Sicalis luteola,Chacoan dominion,3%
Passeriformes,Emberizidae,Spizella atrogularis,Nearctic region,49%
Passeriformes,Emberizidae,Spizella breweri,Nearctic region,2%
Passeriformes,Emberizidae,Spizella pallida,Northern Nearctic,0%
Passeriformes,Emberizidae,Spizella passerina,Northern Nearctic,2%
Passeriformes,Emberizidae,Spizella pusilla,Nearctic region,0%
Passeriformes,Emberizidae,Spizella wortheni,Mexican Transition Zone,100%
Passeriformes,Emberizidae,Sporophila corvina,Pacific dominion,46%
Passeriformes,Emberizidae,Sporophila minuta,Boreal Brazilian dominion,5%
Passeriformes,Emberizidae,Sporophila schistacea,South Brazilian dominion,4%
Passeriformes,Emberizidae,Sporophila torqueola,Mesoamerican dominion,90%
Passeriformes,Emberizidae,Tiaris olivaceus,Mesoamerican dominion,53%
Passeriformes,Emberizidae,Volatinia jacarina,Pacific dominion,0%
Passeriformes,Emberizidae,Xenospiza baileyi,Mexican Transition Zone,92%
Passeriformes,Emberizidae,Zonotrichia albicollis,Northern Nearctic,0%
Passeriformes,Emberizidae,Zonotrichia atricapilla,Northern Nearctic,0%
Passeriformes,Emberizidae,Zonotrichia capensis,Chacoan dominion,1%
Passeriformes,Emberizidae,Zonotrichia leucophrys,Northern Nearctic,0%
Passeriformes,Emberizidae,Zonotrichia querula,Northern Nearctic,0%
Passeriformes,Formicariidae,Formicarius analis,South Brazilian dominion,1%
Passeriformes,Formicariidae,Formicarius moniliger,Mesoamerican dominion,100%
Passeriformes,Formicariidae,Grallaria guatimalensis,Boreal Brazilian dominion,32%
Passeriformes,Formicariidae,Hylopezus dives,Pacific dominion,36%
Passeriformes,Formicariidae,Hylopezus perspicillatus,Pacific dominion,24%
Passeriformes,Fringillidae,Carduelis atriceps,Mexican Transition Zone,100%
Passeriformes,Fringillidae,Carduelis notata,Mexican Transition Zone,100%
Passeriformes,Fringillidae,Carduelis pinus,Northern Nearctic,0%
Passeriformes,Fringillidae,Carduelis psaltria,Nearctic region,12%
Passeriformes,Fringillidae,Carduelis tristis,Northern Nearctic,0%
Passeriformes,Fringillidae,Carpodacus mexicanus,Nearctic region,10%
Passeriformes,Fringillidae,Coccothraustes abeillei,Mexican Transition Zone,100%
Passeriformes,Fringillidae,Coccothraustes vespertinus,Northern Nearctic,7%
Passeriformes,Fringillidae,Loxia curvirostra,Palearctic,0%
Passeriformes,Fringillidae,Loxia leucoptera,Palearctic,0%
Passeriformes,Fringillidae,Pinicola enucleator,Palearctic,0%
